AAA,Anaa,GLF
JSH,Sitia,JSH
JSI,Skiathos,JSI
JSM,Jose D San Martin,JSM
JSR,Jessore,JSR
JST,Cambria County,JST
JSY,Syros Island National Airport,JSY
JTC,Bauru - Arealva,JTC
JTR,Santorini,JTR
JTY,Astypalaia Island National Airport,JTY
JUB,Juba,JUB
JUI,Juist,JUI
JUJ,El Cadillal,JUJ
JUL,Juliaca,JUL
JVA,Ankavandra,JVA
JWA,Jwaneng,JWA
JWN,Zanjan Airport,JWN
JYV,Jyvaskyla,JYV
KAA,Kasama,KAA
KAB,Kariba,KAB
KAC,Kameshli,KAC
KAD,Kaduna,KAD
KAG,Kangnung,KAG
KAJ,Kajaani,KAJ
KAL,Kaltag,KAL
KAN,Aminu Kano Int'l,KAN
KAO,Kuusamo,KAO
KAT,Kaitaia,KAT
KAX,Kalbarri,KAX
KAZ,Kau,KAZ
KBA,Kabala,KBA
KBC,Birch Creek,KBC
KBI,Kribi,KBI
KBL,Khwaja Rawash,KBL
KBM,Kabwum,KBM
KBP,Borispol,IEV
KBR,Pengkalan Chepa,KBR
KBT,Kaben,KBT
KBV,Krabi,KBV
KBX,Kambuaya,KBX
KBY,Streaky Bay,KBY
KCG,Fisheries,KCL
KCH,Kuching,KCH
KCK,Fairfax Municipal,KCK
KCL,Chignik,KCL
KCM,Kahramanmaras,KCM
KCQ,Chignik Lake,KCL
KCZ,Kochi,KCZ
KDA,Kolda,KDA
KDC,Kandi,KDC
KDH,Kandahar,KDH
KDI,Wolter Monginsidi,KDI
KDN,Ndende,KDN
KDV,Kandavu,KDV
KEA,Keisah,KEA
KED,Kaedi,KED
KEE,Kelle,KEE
KEF,Keflavik Int'l,REK
KEH,Kenmore Air Harbo,KEH
KEJ,Kemerovo,KEJ
KEK,Ekwok,KEK
KEL,Holtenau,KEL
KEM,Kemi Tornio,KEM
KEN,Kenema,KEN
KEO,Odienne,KEO
KEQ,Kebar,KEQ
KER,Kerman,KER
KET,Keng Tung,KET
KEY,Kericho,KEY
KFA,Kiffa,KFA
KFG,Kalkurung,KFG
KFP,False Pass,KFP
KFS,Kastamonu Apt,KFS
KGA,Kananga,KGA
KGB,Konge,KGB
KGC,Kingscote,KGC
KGD,Kaliningrad,KGD
KGF,Karaganda,KGF
KGG,Kedougou,KGG
KGI,Kalgoorlie,KGI
KGJ,Karonga,KGJ
KGK,New Koliganek,KGK
KGL,Gregoire Kayibanda,KGL
KGS,Kos,KGS
KGX,Grayling,KGX
KHE,Kherson,KHE
KHG,Kashi,KHG
KHH,Kaohsiung Int'l,KHH
KHI,Quaid-e-Azam Int'l,KHI
KHN,Nanchang,KHN
KHS,Khasab,KHS
KHT,Khost,KHT
KHV,Novy,KHV
KHW,Khwai River Lodge,KHW
KID,Kristianstad,KID
KIF,Kingfisher Lake,KIF
KIH,Kish Island,KIH
KIJ,Niigata,KIJ
KIK,Kirkuk Airport,KIK
KIM,Kimberley,KIM
KIN,Norman Manley,KIN
KIO,Kili Island,KIO
KIQ,Kira,KIQ
KIR,Kerry County,KIR
KIS,Kisumu,KIS
KIT,Kithira,KIT
KIV,Chisinau,KIV
KIX,Kansai Int'l,OSA
KJA,Krasnojarsk,KJA
KJR,Karlsruhe Central Station,KJR
KKA,Koyuk,KKA
KKB,Kitoi Bay,KKB
KKC,Khon Kaen,KKC
KKD,Kokoda,KKD
KKE,Kerikeri,KKE
KKH,Kongiganak,KKH
KKN,Hoeybuktmoen,KKN
KKR,Kaukura Atoll,KKR
KKU,Ekuk,KKU
KKX,Kikaiga Shima,KKX
KLC,Kaolack,KLC
KLE,Kaele,KLE
KLG,Kalskag Municipal,KLG
KLH,Kolhapur,KLH
KLL,Levelock,KLL
KLO,Kalibo,KLO
KLR,Kalmar,KLR
KLT,Kaiserslautern Train Station,KLT
KLU,Klagenfurt,KLU
KLV,Karlovy Vary Airport,KLV
KLW,Klawock,KLW
KLX,Kalamata,KLX
KLZ,Kleinzee,KLZ
KME,Kamembe,KME
KMG,Kunming,KMG
KMI,Miyazaki,KMI
KMJ,Kumamoto,KMJ
KMK,Makabana,KMK
KMM,Kimam,KMM
KMP,J.G.H. Van Der Wath,KMP
KMQ,Komatsu,KMQ
KMS,Kumasi,KMS
KMU,Kismayu,KMU
KMV,Kalemyo,KMV
KMY,Moser Bay,KMY
KND,Kindu,KND
KNG,Kaimana,KNG
KNH,Shang-Yi,KNH
KNJ,Kindamba,KNJ
KNK,Kakhonak,KNK
KNN,Kankan,KNN
KNO,Kuala Namu International Airport,MES
KNQ,Kone,KNQ
KNS,King Island,KNS
KNU,Kanpur,KNU
KNW,New Stuyahok,KNW
KNX,Kununurra,KNX
KOA,Keahole,KOA
KOB,Koutaba,KOB
KOC,Koumac,KOC
KOE,Eltari,KOE
KOI,Kirkwall,KOI
KOJ,Kagoshima,KOJ
KOK,Kruunupyy,KOK
KOO,Kongolo,KOO
KOP,Nakhon Phanom Airport,KOP
KOS,KOS,KOS
KOT,Kotlik,KOT
KOU,Koulamoutou,KOU
KOV,Kokchetau,KOV
KOW,Ganzhou,KOW
KPC,Port Clarence,KPC
KPE,Yapsiei,KPE
KPI,Kapit,KPI
KPO,Pohang,KPO
KPS,Kempsey,KPS
KQA,Akutan,KQA
KQH,Kishangarh Airport,KQH
KRB,Karumba,KRB
KRE,Kirundo,KRE
KRF,Kramfors,KRF
KRI,Kikori,KRI
KRJ,Karawari,KRJ
KRK,John Paul11 Balice Int'l,KRK
KRN,Kiruna,KRN
KRO,Kurgan,KRO
KRP,Karup,KRP
KRR,Krasnodar,KRR
KRS,Kjevik,KRS
KRT,Khartoum Civil,KRT
KRV,Kerio Valley,KRV
KRW,Krasnowodsk,KRW
KRX,Kar Kar,KRX
KSA,Kosrae,KSA
KSC,Barca,KSC
KSD,Karlstad,KSD
KSE,Kasese,KSE
KSF,Kassel Calden Airport,KSF
KSH,Bakhtaran,KSH
KSI,Kissidougou,KSI
KSJ,Kasos Island,KSJ
KSL,Kassala,KSL
KSM,Saint Marys,KSM
KSN,Kostanay,KSN
KSO,Aristoteles,KSO
KSQ,Karshi,KSQ
KSS,Sikasso,KSS
KSU,Kvernberget,KSU
KSY,Kars,KSY
KTA,Karratha,KTA
KTB,Thorne Bay,KTB
KTC,Katiola,KTC
KTD,Kitadaito,KTD
KTE,Kerteh,KTE
KTG,Ketapang,KTG
KTL,Kitale,KTL
KTM,Tribhuvan,KTM
KTN,Ketchikan int'l,KTN
KTP,Tinson,KIN
KTR,Tindal,KTR
KTS,Brevig Mission,KTS
KTT,Kittila,KTT
KTU,Kota,KTU
KTW,Pyrzowice,KTW
KTX,Koutiala,KTX
KUA,Kuantan,KUA
KUC,Kuria,KUC
KUD,Kudat,KUD
KUF,Samara,KUF
KUG,Kubin Island,KUG
KUH,Kushiro,KUH
KUK,Kasigluk,KUK
KUL,Kuala Lum Intl.,KUL
KUM,Yakushima,KUM
KUN,Kaunas,KUN
KUO,Kuopio,KUO
KUP,Kupiano,KUP
KUS,Kulusuk,KUS
KUT,Kutaisi,KUT
KUU,Bhuntar,KUU
KVA,Megas Alexandros,KVA
KVB,Skovde,KVB
KVC,King Cove,KVC
KVG,Kavieng,KVG
KVK,Kirovsk,KVK
KVL,Kivalina,KVL
KVX,Kirov,KVX
KWA,Kwajalein,KWA
KWE,Guiyang,KWE
KWG,Krivoy Rog,KWG
KWH,Khwahan,KWH
KWI,Kuwait Int'l,KWI
KWJ,Kwangju,KWJ
KWK,Kwigillingok,KWK
KWL,Guilin,KWL
KWM,Kowanyama,KWM
KWN,Kwinhagak,KWN
KWT,Kwethluk,KWT
KWY,Kiwayu,KWY
KYA,Konya,KYA
KYD,Orchid Island,KYD
KYE,Kleyate,KYE
KYK,Karluk,KYK
KYP,Kyaukpyu,KYP
KYS,Kayes,KYS
KYU,Koyukuk,KYU
KYX,Yalumet,KYX
KYZ,Kyzyl,KYZ
KZF,Kaintiba,KZF
KZI,Philippos,KZI
KZN,Kazan,KZN
KZO,Kyzylorda Airport,KZO
KZR,Kutahya Zafer Airport,KZR
KZS,Kastelorizo,KZS
LAA,Lamar Field,LAA
LAB,Lablab,LAB
LAD,4 De Fevereiro,LAD
LAE,Nadzab,LAE
LAF,Purdue University,LAF
LAH,Labuha,LAH
LAI,Servel,LAI
LAJ,Lages,LAJ
LAK,Aklavik,LAK
LAM,Los Alamos,LAM
LAN,Capital City,LAN
LAO,Laoag Int Airport,LAO
LAP,Leon,LAP
LAQ,La Braq,LAQ
LAR,General Brees Field,LAR
LAS,Mccarran Int'l,LAS
LAT,La Uribe,LAT
LAU,Lamu,LAU
LAW,Lawton Municipal,LAW
LAX,Los Angeles Int'l,LAX
LAY,Ladysmith,LAY
LAZ,Bom Jesus Da Lapa,LAZ
LBA,Leeds/Bradford,LBA
LBB,Lubbock Int'l,LBB
LBC,Luebeck-Blankensee,HAM
LBD,Khudzhand Khujand Airport,LBD
LBE,Westmoreland County,LBE
LBF,Lee Bird Field,LBF
LBG,Le Bourget Airport,PAR
LBI,Le Sequestre,LBI
LBJ,Mutiara,LBJ
LBL,Liberal Municipal,LBL
LBQ,Lambarene,LBQ
LBR,Labrea Airport,LBR
LBS,Labasa,LBS
LBT,LUMBERTON,LBT
LBU,Labuan,LBU
LBV,Libreville,LBV
LBW,Long Bawan,LBW
LCA,Larnaca,LCA
LCB,Pontes E Lacerda,lcb
LCD,Louis Trichardt,LCD
LCE,Goloson Int'l,LCE
LCG,La Coruna,LCG
LCH,Lake Charles Municipal,LCH
LCI,Laconia Municipal,LCI
LCJ,Wladyslaw Reymont,LCJ
LCK,Rickenbacker,CMH
LCL,La Coloma,LCL
LCO,Lague,LCO
LCR,La Chorrera,LCR
LCY,London City Apt,LON
LDA,Malda,LDA
LDB,Londrina,LDB
LDC,Lindeman Island,LDC
LDE,Lourdes Tarbes Int'l,LDE
LDH,Lord Howe Island,LDH
LDI,Kikwetu,LDI
LDK,Hovby,LDK
LDU,Lahad Datu,LDU
LDY,Eglinton,LDY
LEA,Learmonth,LEA
LEB,Lebanon Rgnl,LEB
LEC,Lencois Airport,LEC
LED,Pulkovo,LED
LEH,Octeville,LEH
LEI,Almeria,LEI
LEJ,Leipzig,LEJ
LEK,Labe,LEK
LEL,Lake Evella,LEL
LEM,Lemmon,LEM
LEN,Leon,LEN
LER,Leinster,LER
LES,Lesobeng,LES
LET,Leticia,LET
LEV,Levuka Airfield,LEV
LEX,Blue Grass,LEX
LFR,La Fria,LFR
LFT,Lafayette Regional,ARA
LFW,Lome,LFW
LGA,La Guardia,NYC
LGB,Long Beach Municipal,LGB
LGG,Bierset,LGG
LGH,Leigh Creek,LGH
LGI,Deadmans Cay,LGI
LGK,Langkawi,LGK
LGL,Long Lellang,LGL
LGP,Legaspi,LGP
LGQ,Lago Agrio,LGQ
LGU,Logan - Cache Airport,LGU
LGW,Gatwick,LON
LGZ,Leguizamo,LGZ
LHE,Lahore,LHE
LHI,Lereh,LHI
LHR,Heathrow,LON
LHW,,LHW
LIF,Lifou,LIF
LIG,Bellegarde,LIG
LIH,Lihue,LIH
LII,Mulia,LII
LIJ,Long Island,LIJ
LIK,Likiep Island,LIK
LIL,Lesquin,LIL
LIM,J Chavez Int'l,LIM
LIN,Linate,MIL
LIP,Lins,LIP
LIQ,Lisala,LIQ
LIR,Liberia,LIR
LIS,Lisboa,LIS
LIT,Little Rock Regional,LIT
LIW,Loikaw,LIW
LJA,Lodja,LJA
LJG,,LJG
LJU,Brnik,LJU
LKA,Larantuka,LKA
LKB,Lakeba,LKB
LKL,Banak,LKL
LKN,Leknes,LKN
LKO,Amausi,LKO
LLA,Kallax,LLA
LLI,Lalibela,LLI
LLN,Kelila,LLN
LLW,Kamuzu Int'l,LLW
LMA,Lake Minchumina,LMA
LMB,Salima,LMB
LMC,Lamacarena,LMC
LMI,Lumi,LMI
LML,Lae Island,LML
LMM,Federl,LMM
LMN,Limbang,LMN
LMP,Lampedusa,LMP
LMT,Kinsley Field,LMT
LMX,Lopez De Micay,LMX
LMY,Lake Murray,LMY
LNB,Lamen Bay,LNB
LNE,Lonorore,LNE
LNF,Munbil,LNF
LNK,Lincoln Municipal,LNK
LNO,Leonora,LNO
LNS,Lancaster,LNS
LNY,Lanai City,LNY
LNZ,Hoersching,LNZ
LOD,Longana,LOD
LOE,Loei,LOE
LOF,Loen,LOF
LOH,Loja,LOH
LOK,Lodwar,LOK
LON,London (All Airports),LON
LOP,Lombok,LOP
LOS,Murtala Muhammed,LOS
LOW,LOUISA,LOW
LOY,Loyangalani,LOY
LPA,Las Palmas,LPA
LPB,El Alto,LPB
LPD,La Pedrera,LPD
LPE,La Primavera,LPE
LPG,La Plata,LPG
LPI,Linkoping,LPI
LPL,Liverpool Int'l,LPL
LPM,Lamap,LPM
LPP,Lappeenranta,LPP
LPQ,Luang Prabang,LPQ
LPS,Lopez Island,LPS
LPT,Lampang,LPT
LPU,Long Apung,LPU
LPW,Little Port Walte,LPW
LPX,Liepaja Intl Airport,LPX
LPY,Loudes,LPY
LQN,Qala Nau,LQN
LRA,Larisa,LRA
LRB,Leribe,LRB
LRD,Laredo Int'l,LRD
LRE,Longreach,LRE
LRH,Laleu,LRH
LRM,La Romana,LRM
LRR,Lar airport ,LRR
LRS,Leros,LRS
LRT,Lann Bihoue,LRT
LRU,Las Cruces Municipal,LRU
LRV,Los Roques,LRV
LSA,Losuia,LSA
LSC,La Florida,LSC
LSE,La Crosse Municipal,LSE
LSH,Lashio,LSH
LSI,Sumburgh,SDZ
LSM,Lawas,LSM
LSP,Josefa Camejo,LSP
LSQ,Los Angeles,LSQ
LSS,Terre De Haut,LSS
LST,Launceston,LST
LSW,Lhoksumawe,LSW
LSY,Lismore,LSY
LTD,Ghadames,LTD
LTK,Latakia,LTK
LTL,Lastourville,LTL
LTN,Luton Airport,LON
LTO,Loreto,LTO
LTQ,Le Touquet,LTQ
LTT,St Tropez du Golfe Airport,LTT
ltu,LATUR,ltu
LUA,Lukla,LUA
LUD,Luderitz,LUD
LUG,Lugano,LUG
LUH,Ludhiana,LUH
LUJ,Lusikisiki,LUJ
LUL,Hesler-Noble Field,LUL
LUN,Lusaka,LUN
LUO,Luena,LUO
LUP,Kalaupapa,LUP
LUQ,San Luis,LUQ
LUV,Langgur,LUV
LUW,Luwuk,LUW
LUX,Luxembourg,LUX
LUZ,Lublin Airport,LUZ
LVB,Dos Galpoes,LVB
LVD,Lime Village,LVD
LVI,Livingstone,LVI
LVO,Laverton,LVO
LVS,Las Vegas,LVS
LWB,Greenbrier Valley,LWB
LWE,Lewoleba,LWE
LWK,Lerwick/Tingwall,SDZ
LWN,Leninakan,LWN
LWO,Snilow,LWO
LWS,Nez Perce County Regional,LWS
LWT,Lewistown Municipal,LWT
LXA,Lhasa,LXA
LXC,Liverpool Central railway station,LXC
LXG,Luang Namtha,LXG
LXR,Luxor,LXR
LXS,Lemnos,LXS
LYA,Luoyang,LYA
LYB,Little Cayman,LYB
LYC,Lycksele,LYC
LYG,Lianyungang,LYG
LYH,Preston-Glenn Field,LYH
LYI,Linyi Shubuling Airport,SZO
LYN,Bron,LYS
LYP,Faisalabad,LYP
LYR,Svalbard,LYR
LYS,St Exupéry,LYS
LYX,Lydd,LYX
LZC,Lazaro Cardenas,LZC
LZH,Liuzhou,LZH
LZR,Lizard Island,LZR
MAA,Chennai,MAA
MAB,Maraba,MAB
MAD,Barajas,MAD
MAE,Madera,MAE
MAF,Odessa Regional,MAF
MAG,Madang,MAG
MAH,Menorca,MAH
MAJ,Amata Kabua Int'l,MAJ
MAL,Mangole,MAL
MAN,Manchester Int'l,MAN
MAO,Eduardo Gomes Int'l,MAO
MAP,Mamai,MAP
MAQ,Mae Sot,MAQ
MAR,La Chinita,MAR
MAS,Momote,MAS
MAU,Maupiti,MAU
MAV,Maloelap Island,MAV
MAX,Matam,MAX
MAY,Mangrove Cay,MAY
MAZ,Eugenio M De Hostos,MAZ
MBA,Moi Int'l,MBA
MBB,Marble Bar,MBB
MBC,Mbigou,MBC
MBD,Mmabatho Int'l,MBD
MBE,Monbetsu,MBE
MBH,Maryborough,MBH
MBI,Mbeya Airport,MBI
MBJ,Sangster Int'l,MBJ
MBL,Blacker,MBL
MBS,Tri City,MBS
MBT,Moises R Espinosa Airport,MBT
MBU,Mbambanakira,MBU
MBW,Moorabbin,MBW
MBX,Maribor,MBX
MCA,Macenta,MCA
MCE,Merced Municipal,MCE
MCG,Mcgrath,MCG
MCH,Machala,MCH
MCI,Kansas City Int'l,MKC
MCK,Mccook,MCK
MCM,Monaco,MCM
MCN,Lewis B Wilson,MCN
MCO,Orlando Int'l,ORL
MCP,Macapa Int'l,MCP
MCT,Seeb,MCT
MCU,Gueret (Lepaud),MCU
MCW,Mason City,MCW
MCX,Makhachkala,MCX
MCY,Maroochydore,MCY
MCZ,Palmares,MCZ
MDC,Samratulangi,MDC
MDE,Jose Marie Cordova,MDE
MDF,Medford,MDF
MDI,Makurdi,MDI
MDK,Mbandaka,MDK
MDL,Annisaton,MDL
MDP,Mindiptana,MDP
MDQ,Mar Del Plata,MDQ
MDS,Middle Caicos,MDS
MDT,Harrisburg Int'l,HAR
MDU,Mendi,MDU
MDV,Medouneu,MDV
MDW,Midway,CHI
MDZ,El Plumerillo,MDZ
MEA,Macae Benedito Lacerda Airport,MEA
MEB,Essendon,MEL
MEC,Manta,MEC
MED,Prince Mohammad Bin Abdulaziz International Airport,MED
MEE,Mare,MEE
MEF,Melfi,MEF
MEG,Malange,MEG
MEH,Mehamn,MEH
MEL,Tullamarine,MEL
MEM,Memphis Int'l,MEM
MES,Polania,MES
MEX,Juarez Int'l,MEX
MEY,Meghauli,MEY
MEZ,Messina,MEZ
MFA,Mafia,MFA
MFC,Mafeteng,MFC
MFE,Miller Int'l,MFE
MFF,Moanda,MFF
MFG,Muzaffarabad,MFG
MFJ,Moala,MFJ
MFM,Macau,MFM
MFN,Milford Sound,MFN
MFQ,Maradi,MFQ
MFR,Jackson County,MFR
MFU,Mfuwe,MFU
MGA,Augusto C Sandino,MGA
MGB,Mount Gambier,MGB
MGD,Magdalena,MGD
MGF,Maringa,MGF
MGH,Margate,MGH
MGL,Monchengladbach,MGL
MGM,Dannelly Field,MGM
MGQ,Mogadishu Int'l,MGQ
MGS,Mangaia Island,MGS
MGT,Millingimbi,MGT
MGW,Morgantown,MGW
MGX,Moabi,MGX
MGY,Montgomery Co,DAY
MGZ,Myeik,MGZ
MHD,Mashad,MHD
MHE,Mitchell Municipal,MHE
MHH,Marsh Harbour Int'l,MHH
MHK,Manhattan Municipal,MHK
MHQ,Mariehamn,MHQ
MHT,Manchester,MHT
MHV,Kern County,MHV
MHX,Manihiki Island,MHX
MHY,Morehead,MHY
MIA,Miami Int'l,MIA
MID,Rejon,MID
MIE,Delaware County,MIE
MII,Dr Gasto Vidigal,MII
MIK,Mikkeli,MIK
MIL,Milan (All Airport),IMR
MIM,Merimbula,MIM
MIO,Miami Municipal Airport,MIO
MIR,Habib Bourguiba Int'l,MIR
MIS,Misima Island,MIS
MIU,Maiduguri,MIU
MJA,Manja,MJA
MJB,Mejit Island,MJB
MJC,Man,MJC
MJD,Mohenjodaro,MJD
MJE,Majkin,MJE
MJF,Kjaerstad,MJF
MJK,Shark Bay - Denham,MJK
MJL,Mouila,MJL
MJM,Mbuji Mayi,MJM
MJN,Amborovy,MJN
MJT,Mytilene,MJT
MJU,Mamuju,MJU
MJV,San Javier,MJV
MJZ,Mirnyj,MJZ
MKB,Mekambo,MKB
MKC,Kansas City Downtown Airport,MKC
MKE,General Mitchell,MKE
MKG,Muskegon,MKG
MKH,Mokhotlong,MKH
MKI,M'Boki,MKI
MKJ,Makoua,MKJ
MKK,Molokai,MKK
MKL,Mckellar,MKL
MKM,Mukah,MKM
MKP,Makemo,MKP
MKQ,Mopah,MKQ
MKR,Meekatharra,MKR
MKS,Mekane Selam,MKS
MKU,Makokou,MKU
MKW,Rendani,MKW
MKY,Mackay,MKY
MKZ,Batu Berendum,MKZ
MLA,Luqa,MLA
MLB,Melbourne Int'l,MLB
MLE,Male Int'l,MLE
MLG,Malang,MLG
MLH,Mulhouse Euroairport,EAP
MLI,Quad-City,MLI
MLL,Marshall Fortuna,MLL
MLM,Morelia,MLM
MLN,Melilla,MLN
MLO,Milos,MLO
MLQ,Malalaua,MLQ
MLS,Miles City Municipal,MLS
MLU,Monroe Municipal,MLU
MLW,Sprigg Payne,MLW
MLX,Malatya,MLX
MLY,Manley Hot Spring,MLY
MLZ,Melo,MLZ
MMA,Malmo (All airport),MMA
MMB,Memanbetsu,MMB
MMD,Maridor,MMD
MME,Teesside int'l,MME
MMF,Mamfe,MMF
MMG,Mount Magnet,MMG
MMH,Mammoth Lakes,MMH
MMJ,Matsumoto,MMJ
MMK,Murmansk,MMK
MML,Marshall Municipal-Ryan Field,MML
MMM,Middlemount,MMM
MMO,Vila Do Maio,MMO
MMP,Mompos,MMP
MMU,Morristown Municipal,MMU
MMX,Sturup,MMA
MMY,Hirara,MMY
MMZ,Maimana,MMZ
MNA,Melangguane,MNA
MNB,Moanda,MNB
MNC,Nacala,MNC
MNF,Mana Islands,MNF
MNI,Blackburne,MNI
MNJ,Mananjary,MNJ
MNK,Maiana,MNK
MNL,Ninoy Aquino Int'l,MNL
MNM,Marinette Menomin,MNM
MNT,Minto,MNT
MNU,Maulmyine,MNU
MNY,Mono,MNY
MOA,Orestes Acosta,MOA
MOB,Mobile Municipal,MOB
MOC,Montes Claros,MOC
MOD,Modesto Municipal,MOD
MOF,Waioti,MOF
MOG,Mong Hsat,MOG
MOI,Mitiaro Island,MOI
MOL,Aro,MOL
MOM,Moudjeria,MOM
MON,Mount Cook,MON
MOQ,Morondava,MOQ
MOT,Minot Int'l,MOT
MOU,Mountain Village,MOU
MOV,Moranbah,MOV
MOW,Moscow (All Airports),MOW
MOZ,Temae,MOZ
MPA,Mpacha,MPA
MPD,Mirpur Khas,MPD
MPH,Caticlan Airport,AAV
MPL,Frejorgues,MPL
MPM,Maputo Int'l,MPM
MPN,Mount Pleasant,MPN
MPT,Maliana,MPT
MPW,Mariupol,MPW
MQF,Magnitogorsk,MQF
MQH,Minacu Airport,MQH
MQL,Mildura,MQL
MQM,Mardin Airport,MQM
MQN,Mo I Rana,MQN
MQP,Kruger Mpumalanga International Airport,QKP
MQQ,Moundou,MQQ
MQS,Mustique Island,MQS
MQT,Marquette County,MQT
MQX,Makale,MQX
MQY,Smyrna Airport,MQY
MRA,Misurata,MRA
MRD,A Carnevalli,MRD
MRE,Mara Lodges,MRE
MRI,Merrill Field,ANC
MRK,Marco Island,MRK
MRO,Masterton,MRO
MRS,Marseille,MRS
MRU,Sir Seewoosagur,MRU
MRV,Mineralnye Vody,MRV
MRY,Monterey Peninsula,MRY
MRZ,Moree,MRZ
MSA,Muskrat Dam,MSA
MSC,Falcon Field,MSC
MSD,Mt Pleasant,MSD
MSE,Kent Int'l,MSE
MSH,Masirah,MSH
MSJ,Misawa,MSJ
MSL,Muscle Shoals,MSL
MSN,Dane County Regional,MSN
MSO,Johnson Bell Field,MSO
MSP,St Paul Int'l,MSP
MSQ,Minsk,MSQ
MSR,Mus Airport,MSR
MSS,Richards Field,MSS
MST,Maastricht/Aachen,MST
MSU,Moshoeshoe Int'l,MSU
MSV,Sullivan County Int'l,MSV
MSW,Massawa,MSW
MSY,New Orleans Int'l,MSY
MSZ,Namibe,MSZ
MTF,Mizan Teferi,MTF
MTH,Marathon Flight Strip,MTH
MTJ,Montrose County,MTJ
MTK,Makin Island,MTK
MTL,Maitland,MTL
MTO,Coles County Memorial,MTO
MTR,S. Jeronimo,MTR
MTS,Matsapha Int'l,MTS
MTT,Minatitlan,MTT
MTV,Mota Lava,MTV
MTY,Gen Mariano Escobedo,MTY
MTZ,Masada,MTZ
MUA,Munda,MUA
MUB,Maun,MUB
MUC,Franz Josef Strauss,MUC
MUD,Mueda Airport,MUD
MUE,Kamuela,MUE
MUF,Muting,MUF
MUH,Marsa Matruh Airport,MUH
MUJ,Mui,MUJ
MUK,Mauke Island,MUK
MUM,MUMIAS,MUM
MUN,Quiriquire,MUN
MUR,Marudi,MUR
MUX,Multan,MUX
MUY,Mouyondzi,MUY
MUZ,Musoma,MUZ
MVB,Franceville/Mvengue,MVB
MVD,Carrasco,MVD
MVN,Mt Vernon,MVN
MVO,Mongo,MVO
MVP,Mitu,MVP
MVQ,Mogilev,MVQ
MVR,Salam,MVR
MVT,Mataiva,MVT
MVX,Minvoul,MVX
MVY,Marthas Vineyard,MVY
MVZ,Masvingo,MVZ
MWA,Williamson County,MWA
MWD,Mianwali,MWD
MWE,Merowe,MWE
MWF,Maewo,MWF
MWH,Grant County,MWH
MWI,Maramuni,MWI
MWX,Muan Intl Airport,MWX
MWZ,Mwanza,MWZ
MXJ,Minna,MXJ
MXL,Mexicali,MXL
MXM,Morombe,MXM
MXP,Malpensa,MIL
MXS,Maota Savaii Island,MXS
MXT,Maintirano,MXT
MXX,Mora,MXX
MXZ,Meixian,MXZ
MYA,Moruya,MYA
MYB,Mayoumba,MYB
MYD,Malindi,MYD
MYE,Miyake Jima,MYE
MYF,Montgomery Field,SAN
MYG,Mayaguana,MYG
MYI,Murray Island,MYI
MYJ,Matsuyama,MYJ
MYQ,Mysore,MYQ
MYR,Myrtle AFB,MYR
MYS,Moyale,MYS
MYT,Myitkyina,MYT
MYU,Ellis Field,MYU
MYW,Mtwara,MYW
MYY,Miri,MYY
MYZ,Monkey Bay,MYZ
MZB,Mocimboa Praia,MZB
MZC,Mitzic,MZC
MZF,Mzamba (Wild Coas,MZF
MZG,Makung,MZG
MZH,Amasya Merzifon Airport,MZH
MZI,Mopti,MZI
MZJ,Pinal Airpark,MZJ
MZK,Marakei,MZK
MZL,Manizales,MZL
MZO,Sierra Maestra,MZO
MZP,Motueka,MZP
MZR,Mazar I Sharif,MZR
MZT,Gen Rafael Buelna,MZT
MZX,Mena,MZX
NAA,Narrabri,NAA
NAD,MACANAL,NAD
NAE,Natitingou,NAE
NAG,Sonegaon,NAG
NAH,Naha,NAH
NAK,Nakhon Ratchasima,NAK
NAL,Nalchik,NAL
NAN,Nadi Int'l,NAN
NAP,Naples,NAP
NAR,Nare,NAR
NAS,Nassau Int'l,NAS
NAT,Augusto Severo,NAT
NAU,Napuka Island,NAU
NAV,Nevsehir Kapadokya Airport,NAV
NAW,Narathiwat,NAW
NBB,Barrancominas,NBB
NBC,Naberevnye Chelny,NBC
NBE,Hammamet,NBE
NBO,Jomo Kenyatta Int'l,NBO
NBX,Nabire,NBX
NCA,North Caicos,NCA
NCE,Cote D'Azur,NCE
NCH,Nachingwea,NCH
NCI,Necocli,NCI
NCL,Newcastle Int'l,NCL
NCP,Cubi Pt NAS Airport,NCP
NCS,Newcastle,NCS
NCU,Nukus,NCU
NCY,Annecy-Meythe,NCY
NDB,Nouadhibou,NDB
NDC,Nanded,NDC
NDE,Mandera,NDE
NDJ,Ndjamena,NDJ
NDK,Namdrik Island,NDK
NDL,Ndele,NDL
NDM,Mendi,NDM
NDR,El Aroui,NDR
NDU,Rundu,NDU
NDY,Sanday,NDY
NEG,Negril,NEG
NEK,Nekemt,NEK
NER,Neryungri,NER
NEV,Newcastle,NEV
NFO,Mata’aho,NFO
NGB,Ningbo,NGB
NGD,Anegada,NGD
NGE,Ngaoundere,NGE
NGO,Komaki AFB,NGO
NGS,Nagasaki,NGS
NGV,Ngiva,NGV
NHV,Nuku Hiva,NHV
NIA,Nimba,NIA
NIB,Nikolai,NIB
NIG,Nikunau,NIG
NIM,Niamey,NIM
NIX,Nioro,NIX
NJC,Nizhnevartovsk Airport,NJC
NJF,Al Najaf Intl,NJF
NKC,Nouakchott,NKC
NKG,Nanjing,NKG
NKI,Naukiti,NKI
